idx,label,prompt_text
2343,1,"Read the passage and answer the question with True or False.
question: is bangkok hilton based on a true story
passage: Bangkok Hilton -- The mini series was inspired by the Barlow Chambers Case, which was also turned into a mini series. Terry Hayes felt it would be the basis of a good mini series if the story was changed so the person who went to prison was innocent. He was also inspired by the true story of an Irish woman who had fallen in love with an Arab who smuggled a bomb in her luggage.
Answer: "
9305,0,"Read the passage and answer the question with True or False.
question: does black panther and storm have a child
passage: Storm (Marvel Comics) -- After 90% of the mutants of the world lose their powers, Storm leaves the X-Men to go to Africa; rekindles her relationship with T'Challa, now a superhero known as Black Panther; marries him; and becomes the queen of the kingdom of Wakanda and joins the new Fantastic Four alongside her husband when Reed and Sue take a vacation. On a mission in space, the Watcher told Black Panther and Storm that their children would have a special destiny. Upon Reed and Sue's return to the Fantastic Four, Storm and the Black Panther leave, with Storm returning to the Uncanny X-Men to help out with events in Messiah Complex. After joining with the X-Men again, Storm is confronted by Cyclops over her position as an X-Man and a Queen. Cyclops reminds her that she made him choose between family and duty before, and she needs to make the same decision. Storm reacts by returning to Wakanda to face a despondent Black Panther, with the two seemingly falling out with each other, although it is later revealed that the Black Panther has been possessed by the Shadow King. After incapacitating the possessed T'Challa, Storm battled Cyclops, who had been mentally enthralled by the Shadow King to kill the other X-Men. After being forced to drive him out by striking Cyclops through the chest with a massive lightning bolt, the Shadow King then took control of Storm, only to be devoured in vengeance by Bast, the Panther God, who had agreed to hide inside of Storm's mind in order to take revenge on the Shadow King for possessing T'Challa.
Answer: "
3592,1,"Read the passage and answer the question with True or False.
question: will there be a season 8 for shameless
passage: Shameless (season 8) -- The eighth season of Shameless, an American comedy-drama television series based on the British series of the same name by Paul Abbott, was announced on December 19, 2016, a day after the seventh season finale. The season, which premiered on November 5, 2017, consisted of a total of 12 episodes.
Answer: "
4505,1,"Read the passage and answer the question with True or False.
question: is there another maze runner movie after scorch trials
passage: Maze Runner (film series) -- The first film, The Maze Runner, was released on September 19, 2014 and became a commercial success grossing over $348 million worldwide. The second film, Maze Runner: The Scorch Trials was released on September 18, 2015, and was also a success, grossing over $312 million worldwide. The film series concluded with the release of the third film, Maze Runner: The Death Cure on January 26, 2018.
Answer: "
4827,0,"Read the passage and answer the question with True or False.
question: did frank sinatra sing new york state of mind
passage: New York State of Mind -- Since Joel first recorded and released the song in 1976, it has become a pop standard that has been covered by numerous artists, including Barbra Streisand, Lea Michele and Melissa Benoist, Joanna Wang, Elton John, Ramin Karimloo, Shirley Bassey, Oleta Adams, Carmen McRae, Mark-Almond, Diane Schuur, Ben Sidran, Mel Tormé, Frank Sinatra Jr., Adam Pascal, and Tony Bennett.
Answer: "
7357,1,"Read the passage and answer the question with True or False.
question: is there a number 1 bus in london
passage: London Buses route 1 -- London Buses route 1 is a Transport for London contracted bus route in London, England. Running between Canada Water bus station and Tottenham Court Road station, it is operated by London General.
Answer: "
9200,1,"Read the passage and answer the question with True or False.
question: did the movie the quiet man make any money
passage: The Quiet Man -- The film was a financial success, grossing $3.8 million in its first year of release. This was among the top ten grosses of the year. It was the seventh most popular film for British audiences in 1952.
Answer: "
713,1,"Read the passage and answer the question with True or False.
question: did john williams wrote music for indiana jones
passage: John Williams -- John Towner Williams (born February 8, 1932) is an American composer, conductor, and pianist. With a career spanning over six decades, he has composed some of the most popular, recognizable, and critically acclaimed film scores in cinematic history, including those of the Star Wars series, Jaws, Close Encounters of the Third Kind, Superman, E.T. the Extra-Terrestrial, the Indiana Jones series, the first two Home Alone films, Hook, the first two Jurassic Park films, Schindler's List, and the first three Harry Potter films. Williams has been associated with director Steven Spielberg since 1974, composing music for all but three of his feature films. Other works by Williams include theme music for the 1984 Summer Olympic Games, NBC Sunday Night Football, ``The Mission'' theme used by NBC News and Seven News in Australia, the television series Lost in Space and Land of the Giants, and the incidental music for the first season of Gilligan's Island. Williams has also composed numerous classical concertos and other works for orchestral ensembles and solo instruments. From 1980 to 1993 he served as the Boston Pops's principal conductor, and is currently the orchestra's laureate conductor.
Answer: "
3959,0,"Read the passage and answer the question with True or False.
question: do champions league losers go to europa league
passage: UEFA Europa League -- In 1999, the UEFA Cup Winners' Cup was abolished and merged with the UEFA Cup. For the 2004--05 competition a group stage was added prior to the knockout phase. The 2009 re-branding included a merge with the UEFA Intertoto Cup, producing an enlarged competition format, with an expanded group stage and changed qualifying criteria. The winner of the UEFA Europa League qualifies for the UEFA Super Cup, and since the 2014--15 season the winner of the UEFA Europa League also qualifies for the next edition of the UEFA Champions League. The winner enters at the group stage.
Answer: "
8489,1,"Read the passage and answer the question with True or False.
question: is there a movie theater in the white house
passage: White House Family Theater -- The White House Family Theater is a small movie theater located in the White House in Washington, D.C. for the use of the president and his family. Originally there was no room in the White House specifically for screening films, so the present venue was converted from a cloakroom in 1942. It is able to seat 42 people.
Answer: "
9238,1,"Read the passage and answer the question with True or False.
question: are ligers a separate species from tigers and lions
passage: Liger -- The liger is a hybrid offspring of a male lion (Panthera leo) and a female tiger (Panthera tigris). The liger has parents in the same genus but of different species. The liger is distinct from the similar hybrid tigon, and is the largest of all known extant felines. They enjoy swimming, which is a characteristic of tigers, and are very sociable like lions. Notably, ligers typically grow larger than either parent species, unlike tigons.
Answer: "
2898,0,"Read the passage and answer the question with True or False.
question: is it illegal to flash your headlights to warn of police ontario
passage: Headlight flashing -- In Ontario, the Highway Traffic Act does not prohibit ``flashing head beams''. Some have brought tickets to court, claiming the law only regulates the use of alternating lights in an attempt to impersonate emergency and law enforcement vehicles, and not a driver's manually flashing his car's headlamps to communicate with other drivers. The section that deals with alternating headlights in Ontario is Section 169 of the Highway Traffic Act. It is an offence to improperly use high-beams at night, which is dealt with by way of section 168 of the Highway Traffic Act.
Answer: "
1,1,"Read the passage and answer the question with True or False.
question: do good samaritan laws protect those who help at an accident
passage: Good Samaritan law -- Good Samaritan laws offer legal protection to people who give reasonable assistance to those who are, or who they believe to be, injured, ill, in peril, or otherwise incapacitated. The protection is intended to reduce bystanders' hesitation to assist, for fear of being sued or prosecuted for unintentional injury or wrongful death. An example of such a law in common-law areas of Canada: a good Samaritan doctrine is a legal principle that prevents a rescuer who has voluntarily helped a victim in distress from being successfully sued for wrongdoing. Its purpose is to keep people from being reluctant to help a stranger in need for fear of legal repercussions should they make some mistake in treatment. By contrast, a duty to rescue law requires people to offer assistance and holds those who fail to do so liable.
Answer: "
3034,1,"Read the passage and answer the question with True or False.
question: is london st pancras international the same as kings cross
passage: St Pancras railway station -- St Pancras railway station (/ˈpæŋkrəs/), also known as London St Pancras and officially since 2007 as St Pancras International, is a central London railway terminus located on Euston Road in the London Borough of Camden. It is the terminal station for Eurostar continental services from London via High Speed 1 and the Channel Tunnel to Belgium, France and the Netherlands. It also handles East Midlands Trains and Thameslink services to Corby, Sheffield and Nottingham on the Midland Main Line and Southeastern high-speed trains to Kent via Ebbsfleet International and Ashford International, and local Thameslink cross-London services. It stands between the British Library, Regent's Canal and King's Cross railway station, sharing a London Underground station named King's Cross St. Pancras with the latter.
Answer: "
8062,0,"Read the passage and answer the question with True or False.
question: is sallie mae backed by the federal government
passage: Sallie Mae -- SLM Corporation (commonly known as Sallie Mae; originally the Student Loan Marketing Association) is a publicly traded U.S. corporation that provides consumer banking. Its nature has changed dramatically since it was set up in 1973. At first, it was a government entity that serviced federal education loans. It then became private and started offering private student loans, although at one point it had a contract to service federal loans.
Answer: "
3749,1,"Read the passage and answer the question with True or False.
question: is season 7 the final season of new girl
passage: New Girl (season 7) -- The seventh and final season of the American comedy series New Girl premiered April 10, 2018 on Fox at 9:30 pm (Eastern).
Answer: "
