id,summary,prompt_text
13730479,Kent and Clark both failed the quiz. ,"Summarize the given dialogue. Keep the summary short.
dialogue: Kent: duuude i failed the quiz
Clark: heyyy me too XD
Kent: xD
Clark: *hi five*
Kent: *hi five* ..
summary: "
13820252,Clara's motorbike broke in Thailand and she needs someone to help her communicate. Peter will ask his Thai friend. ,"Summarize the given dialogue. Keep the summary short.
dialogue: Clara: Do you speak Thai by any chance???
George: LOL
Peter: Nope
Clara: I'm stuck in this shithole I need help
Clara: I'm trying with the google translate but it's not great. 
Clara: I don't understand what they are saying to me...
George: What happened??
Clara: My motorcycle broke
Peter: Wait I have a Thai friend
Peter: I'll try to call him maybe he could translate
Clara: That would be awesome!
Clara: Thanks Peter
Clara: It is so frustrating not being able to communicate... 
summary: "
13830136,"Xavier broke his house key and he can't get into the house now. It's late to call the janitor or a locksmith. Luckily, Tyler's housemate used to work as a locksmith and he will be in Xavier's place in 15 minutes.","Summarize the given dialogue. Keep the summary short.
dialogue: Xavier: i need your help
Xavier: could I spend the night at your place?
Tyler: what happened?
Tyler: sure
Xavier: i've managed to break my house key somehow, so now i can't get into my house
Xavier: and it's too late to call the janitor or a locksmith :/
Tyler: well, you're lucky - my housemate used to work as a locksmith :)
Tyler: he said he'll be there in 15 mins :)
Xavier: omg thank you!!!
summary: "
13731331,Maisie will see Rick after work.,"Summarize the given dialogue. Keep the summary short.
dialogue: Maisie: B^D
Rick: Back atcha, babe! B^D
Maisie: I can't wait to get off work to see you!
Rick: Ditto!
Maisie: This day is going so slowly!
Rick: Tell me about it!
Maisie: Because it's Friday! Woot!
Rick: The weekend is upon us! Bring it on!
Maisie: LOL!
Rick: So ready to be with you and relax!
Maisie: Me too!
Rick: Counting the hours!!!!
Maisie: Love you, babe! B^D
Rick: Love you, too!
summary: "
13611830,Monica suggests to Nathan that he should check Wizz for cheap flights to Rome. Everything has been sold.,"Summarize the given dialogue. Keep the summary short.
dialogue: Monica: Check out the cheap flights to Rome
Nathan: Ryanair?
Monica: Wizz
Nathan: Fuck, all sold
Monica: Fuuuuck
summary: "
13828318,Paulina can't find her hamster. It was running around her room and got lost. ,"Summarize the given dialogue. Keep the summary short.
dialogue: Paulina: I cant find my hamster lol
Jacalyn: omggg wtf did u do with it
Paulina: it was runnin around my room, as always
Jacalyn: I told ya he gonna get lost one day
Paulina: what now ;((
Jacalyn: don’t loo for it, doesn’t make any sense, just put ta lot of food on the table and wait
Paulina: okkk what if it doesnt work
Jacalyn: then you can have a fucking funeral lol
Paulina: dont say that!!! i want him back
Jacalyn: thats how it works when youre stupid, Pal
Paulina: T__T
summary: "
13730047,Clarice didn't get anything for Christmas. Sebastian got chocolate. Sebastian and Clarice will have dinner together tonight after 8. They will have roasted chicken and red wine.,"Summarize the given dialogue. Keep the summary short.
dialogue: Sebastian: Did Santa come to you this year?
Clarice: Nope :P
Clarice: I don’t think I’ve been a good girl …
Clarice: How about you?
Clarice: Did you get anything?
Sebastian: Chocolate
Sebastian: My favourite
Clarice: Santa really knows you well ☺
Sebastian: I guess so ☺
Sebastian: Bad, bad girl :P
Sebastian: Do I see you in the evening?
Clarice: Only if it’s after 8
Sebastian: Excellent
Sebastian: Do you want to have dinner with me?
Clarice: I’d love to
Clarice: I’ll be starving
Sebastian: How about some roasted chicken and red wine?
Sebastian: Let’s put ourselves in a festive mood!
Clarice: Sounds great!
Clarice: See you later
summary: "
13730696,Jordan and Vivian had a lot of fun today. They will meet again on Friday.,"Summarize the given dialogue. Keep the summary short.
dialogue: Vivian: I had a lot of fun today!! Thanks again :**
Jordan: my pleasure :) I wish we could stay longer though
Vivian: I knoooow but I have to go to work tomorrow, you know that
Jordan: yeah me too, but maybe we can go out again on friday? :*
Vivian: i would love that!!
Jordan: it's a date then! good night ;*
summary: "
13862803,Edward bought a computer yesterday but it doesn't work. He will contact the seller.,"Summarize the given dialogue. Keep the summary short.
dialogue: Edward: I bought my computer yesterday but I think it is broken.
Yves: Why?
Edward: I turned it on as soon as I got but only black screen.
Yves: Really? How did it happen?
Yves: Maybe there is a chance you didn't plug in or something.
Edward: Dude. I’m not an idiot. 
Yves: I wish I could give you some tips related to computer stuff but you know I have no even a bit of knowledge about that.
Yves: Just call the seller first. You got your receipt right?
Edward: I guess I should contact him anyways.
summary: "
13681267,Lydia and Peter will meet for coffee about 8 tomorrow. They haven't talked for months because they needed a break.,"Summarize the given dialogue. Keep the summary short.
dialogue: Lydia: Hi, how are you doing?
Peter: Wow, I didn't expect a message from you!
Lydia: Why?
Peter: We haven't talked for months
Lydia: I needed some break.
Peter: We both needed it.
Lydia: But now I would like to talk.
Peter: Why not?
Lydia: Let's have a coffee tomorrow.
Peter: I'll be happy to see you again
Lydia: about 8?
Peter: Great!
summary: "
13716750,Pam and Sue are doing well. Paula is healthy but had some incidents that she wants to discuss with them.,"Summarize the given dialogue. Keep the summary short.
dialogue: Paula: Hey girls
Paula: How are you these days?
Pam: Hi, I'm good. And you?
Sue: Hi Paula
Sue: I'm doing ok
Sue: a little bit overwhelmed, but ok
Paula: I'm ok heath-wise
Paula: But had a number of other incidents
Paula: To be discussed when I see both of you
Pam: The sooner the better
Sue: I agree
Paula: :)
summary: "
13863078,Daniel is looking for Ludo's number but Quentin doesn't have it. Quentin and Daniel plan to meet with Emmy and Charlie soon. Quentin has been having problems with his parents.,"Summarize the given dialogue. Keep the summary short.
dialogue: Daniel: how are you?
Daniel: do you have Ludo's number?
Quentin: no sorry
Daniel: ok thanks
Daniel: and otherwise, everything 's fine?
Quentin: Yes, but some troubles with my parents
Daniel: i miss you
Quentin: i miss you too
Daniel: are you coming back?
Quentin: i hope
Daniel: we should organise something with Emmy and Charlie
Quentin: good idea
Daniel: when?
Quentin: i'm free all time...
Daniel: lol...
summary: "
13729355,Liam's mom got tickets to Fantastic Beasts: The Crimes of Grindelwald screening tonight at 6 PM. Liam will pick Ava up and they'll see the movie together.,"Summarize the given dialogue. Keep the summary short.
dialogue: Liam: Hey Ava! Fancy watching Fantastic Beasts: The Crimes of Grindelwald tonight with me?
Ava: Oh sure! I'd love that! 
Liam: My mum got tickets at work! She's really far from watching fantasy movies so I thought we could use it :)
Ava: That's perfect! What time is the movie?
Liam: 6 p.m.
Ava: Should we meet at the movies?
Liam: I can come and pick you up!
Ava: You're just too good to be true :D 
Liam: See you in few hours!
Ava: See you then :*
summary: "
13730887,Jasmine needs to walk some more to reach her goal today. ,"Summarize the given dialogue. Keep the summary short.
dialogue: Jasmine: Only 3k more steps to go for my goal today.
Leon: You'd better walk later!
Jasmine: Yep!
summary: "
13730838,Mia's train gets to Newcastle at 5.30. Kat will pick Mia up after work. Mia will have to wait for Kat. Mia will text Kat before she arrives at about 5. ,"Summarize the given dialogue. Keep the summary short.
dialogue: Mia: Hiya love! Train gets into Newcastle at 5.30, you able to come pick me up?
Kat: Sure, but I don't leave work till 5.15, so you may have to wait a bit, grab a coffee or whatever.
Mia: Sure, no probs. I'll text you just before I arrive, say 5/ 5.05ish.
Kat: Great! Really looking forward to seeing you again, it's been yonks!
Mia: See you babes!
summary: "
13864866,Peter wants to buy a pink shirt. Jacob and Sam help him to choose one.,"Summarize the given dialogue. Keep the summary short.
dialogue: Peter: I want to buy a pink shirt
Jacob: Which shade of pink?
Sam: You would look great in a washed off shade
Sam: It would go well with your complexion
Peter: I was thinking about dusty rose
Peter: <photo_file>
Peter: Something like that
Jacob: Nice
Sam: Good choice
summary: "
13864830,Frank let Lucas' mother in.,"Summarize the given dialogue. Keep the summary short.
dialogue: Frank: Your mother is here!
Lucas: What??
Paula: Did you let her in?
Frank: I didn't have a choice.... 
summary: "
13819587-1,"Gary, Dan, Owen, Eva, Alexander, Steffen, Kieran and Ben are going on a ferry journey on Friday, the 16th of November. Gary wants them to be at Malinche at 1 pm.","Summarize the given dialogue. Keep the summary short.
dialogue: Gary: hey guys, we will be meeting here at 2:30 pm on Friday Nov 16th.
Dan: Sounds good
Owen: Perfect!!
Gary: Eva, Victor just wanted to make sure you got the meeting point and the time. Thanks!
Eva: Got it, thanks :blush:
Alexander: Hey guys, I could stay a night longer and come with you in case there is some space?
Gary: yes sir that's fine
Steffen: What’s that?
Dan: Steffen, we are coordinating private shuttle(s)
Gary: I think that's makes 10 people which is the cap
Dan: There are 10 in the conversation, so I would agree
Steffen: <file_gif>
Dan: So 2:30 when the shuttle leaves, or we are meeting for 2:30?
Gary: Be at Malinche at 1pm. Shuttle leaves at 1:30 PM.
Dan: OK. change of plans?
Gary: the rep just called me and said since its Friday the more time we give the better it will be and we dont want to miss that ferry
Kieran: Thanks for organizing this, Gary!
Ben: Cheers, man
Dan: sounds good!
Gary: No problem!
summary: "
13716386,Mattie is broke as he had to pay a lot for the dentist.,"Summarize the given dialogue. Keep the summary short.
dialogue: Mattie: guys sorry for not hanging out lately, I'm broke :c
Will: chill dude we can buy u a drink or sth
Mattie: I had to pay a fortune for a dentist
Bill: that's shitty dude but don't worry we can meet up at my place for ex.
Will: no homo tho :D
Mattie: :D
summary: "
13830121,Joe doesn't want to join Peter for football as it bores him.,"Summarize the given dialogue. Keep the summary short.
dialogue: Peter: go down to play
Joe: to what?
Peter: football
Joe: it bores me
Peter: 😤
summary: "
