Model,Threshold,M-Pre,M-Rec,M-F1
strategy-9,0.6,79.2,69.1,69.4
strategy-9,0.65,80.6,72.0,72.8
strategy-9,0.7,81.0,73.6,74.6
strategy-9,0.75,81.1,75.4,76.4
strategy-9,0.8,81.2,76.3,77.3
strategy-9,0.85,81.2,77.8,78.7
strategy-9,0.9,81.7,79.8,80.4
strategy-9,0.95,81.9,81.3,81.5
strategy-10,0.6,79.3,68.7,68.9
strategy-10,0.65,79.8,69.8,70.2
strategy-10,0.7,79.9,70.3,70.9
strategy-10,0.75,79.5,70.7,71.3
strategy-10,0.8,79.4,71.6,72.4
strategy-10,0.85,79.3,72.4,73.3
strategy-10,0.9,80.0,73.4,74.3
strategy-10,0.95,80.4,75.4,76.4
