Model,Threshold,M-Pre,M-Rec,M-F1
strategy-1,0.6,72.6,70.6,71.1
strategy-1,0.65,73.7,71.0,71.6
strategy-1,0.7,74.7,70.6,71.2
strategy-1,0.75,77.2,71.7,72.5
strategy-1,0.8,79.5,74.2,75.1
strategy-1,0.85,83.6,81.5,82.2
strategy-1,0.9,89.6,89.0,89.2
strategy-1,0.95,90.0,89.6,89.8
strategy-2,0.6,71.7,70.2,70.6
strategy-2,0.65,71.7,70.2,70.6
strategy-2,0.7,71.7,70.2,70.6
strategy-2,0.75,71.7,70.2,70.6
strategy-2,0.8,82.7,80.7,81.4
strategy-2,0.85,84.1,82.3,82.9
strategy-2,0.9,88.5,87.6,88.0
strategy-2,0.95,90.0,89.6,89.8
strategy-3,0.6,76.2,72.9,73.6
strategy-3,0.65,77.2,73.8,74.6
strategy-3,0.7,78.3,74.5,75.4
strategy-3,0.75,79.7,75.6,76.5
strategy-3,0.8,80.4,76.5,77.5
strategy-3,0.85,81.2,77.4,78.4
strategy-3,0.9,86.8,84.2,85.1
strategy-3,0.95,89.9,89.5,89.7
strategy-4,0.6,71.7,70.2,70.6
strategy-4,0.65,71.7,70.2,70.6
strategy-4,0.7,71.7,70.2,70.6
strategy-4,0.75,78.6,77.3,77.8
strategy-4,0.8,82.3,81.0,81.5
strategy-4,0.85,84.1,82.3,82.9
strategy-4,0.9,89.8,89.4,89.6
strategy-4,0.95,90.0,89.6,89.8
